date_clean,season,rating,sentiment,word,topic,review_id
2025-12-09,Зима,1.0,Негатив,сегодня,Другое,0
2025-12-09,Зима,1.0,Негатив,чек,Другое,0
2025-12-09,Зима,1.0,Негатив,пробить,Другое,0
2025-12-09,Зима,1.0,Негатив,лекарство,Лекарства/Наличие,0
2025-12-09,Зима,1.0,Негатив,который,Другое,0
2025-12-09,Зима,1.0,Негатив,вычеркнуть,Другое,0
2025-12-09,Зима,1.0,Негатив,рецепт,Другое,0
2025-12-09,Зима,1.0,Негатив,выходить,Другое,0
2025-12-09,Зима,1.0,Негатив,заметить,Другое,0
2025-12-09,Зима,1.0,Негатив,ошибка,Другое,0
2025-12-09,Зима,1.0,Негатив,сотрудник,Другое,0
2025-12-09,Зима,1.0,Негатив,отказаться,Другое,0
2025-12-09,Зима,1.0,Негатив,сделать,Другое,0
2025-12-09,Зима,1.0,Негатив,возврат,Другое,0
2025-12-09,Зима,1.0,Негатив,ваш,Другое,0
2025-12-09,Зима,1.0,Негатив,сотрудник,Другое,0
2025-12-09,Зима,1.0,Негатив,нормально,Другое,0
2025-12-09,Зима,1.0,Негатив,пробить,Другое,0
2025-12-09,Зима,1.0,Негатив,чек,Другое,0
2025-12-09,Зима,1.0,Негатив,лишний,Другое,0
2025-12-09,Зима,1.0,Негатив,товар,Другое,0
2025-12-09,Зима,1.0,Негатив,секунда,Другое,0
2025-12-09,Зима,1.0,Негатив,объявить,Другое,0
2025-12-09,Зима,1.0,Негатив,товар,Другое,0
2025-12-09,Зима,1.0,Негатив,возврат,Другое,0
2025-12-09,Зима,1.0,Негатив,подлежать,Другое,0
2025-12-09,Зима,1.0,Негатив,ошибиться,Другое,0
2025-12-09,Зима,1.0,Негатив,около,Другое,0
2025-12-09,Зима,1.0,Негатив,забрать,Другое,0
2025-12-09,Зима,1.0,Негатив,лекарство,Лекарства/Наличие,0
2025-12-09,Зима,1.0,Негатив,оно,Другое,0
2025-12-09,Зима,1.0,Негатив,возвратный,Другое,0
2025-12-09,Зима,1.0,Негатив,вернуть,Цена/Выгода,0
2025-12-09,Зима,1.0,Негатив,излишний,Другое,0
2025-12-09,Зима,1.0,Негатив,списать,Другое,0
2025-12-09,Зима,1.0,Негатив,деньга,Другое,0
2024-08-05,Лето,5.0,Позитив,нравиться,Другое,1
2024-08-05,Лето,5.0,Позитив,обслуживание,Другое,1
2024-08-05,Лето,5.0,Позитив,вежливый,Сервис/Общение,1
2024-08-05,Лето,5.0,Позитив,персонал,Сервис/Общение,1
2024-08-05,Лето,5.0,Позитив,цена,Цена/Выгода,1
2024-08-05,Лето,5.0,Позитив,дешёвый,Другое,1
2024-08-05,Лето,5.0,Позитив,остальной,Другое,1
2024-08-05,Лето,5.0,Позитив,доп,Другое,1
2024-08-05,Лето,5.0,Позитив,скидка,Цена/Выгода,1
2024-08-05,Лето,5.0,Позитив,заказ,Доставка/Заказ,1
2024-08-05,Лето,5.0,Позитив,сайт,Доставка/Заказ,1
2024-08-05,Лето,5.0,Позитив,оформление,Другое,1
2024-08-05,Лето,5.0,Позитив,минута,Другое,1
2024-08-05,Лето,5.0,Позитив,рекомендовать,Другое,1
2024-08-05,Лето,5.0,Позитив,посещение,Другое,1
2025-07-30,Лето,5.0,Позитив,список,Другое,2
2025-07-30,Лето,5.0,Позитив,наслать,Другое,2
2025-07-30,Лето,5.0,Позитив,самый,Другое,2
2025-07-30,Лето,5.0,Позитив,главное,Другое,2
2025-07-30,Лето,5.0,Позитив,бонус,Цена/Выгода,2
2025-07-30,Лето,5.0,Позитив,приятный,Другое,2
2025-07-30,Лето,5.0,Позитив,фармацевт,Сервис/Общение,2
2025-07-30,Лето,5.0,Позитив,хороший,Другое,2
2025-07-30,Лето,5.0,Позитив,обслуживание,Другое,2
2024-04-19,Весна,5.0,Позитив,правило,Другое,3
2024-04-19,Весна,5.0,Позитив,всегда,Другое,3
2024-04-19,Весна,5.0,Позитив,наличие,Лекарства/Наличие,3
2024-04-19,Весна,5.0,Позитив,необходимый,Другое,3
2024-04-19,Весна,5.0,Позитив,лекарство,Лекарства/Наличие,3
2024-04-19,Весна,5.0,Позитив,заказывать,Другое,3
2024-04-19,Весна,5.0,Позитив,приложение,Доставка/Заказ,3
2024-04-19,Весна,5.0,Позитив,удобно,Другое,3
2024-04-19,Весна,5.0,Позитив,очередь,Другое,3
2024-04-19,Весна,5.0,Позитив,бывать,Другое,3
2024-04-19,Весна,5.0,Позитив,работать,Другое,3
2024-04-19,Весна,5.0,Позитив,правило,Другое,3
2024-04-19,Весна,5.0,Позитив,окно,Другое,3
2025-08-28,Лето,5.0,Позитив,постоянно,Другое,4
2025-08-28,Лето,5.0,Позитив,забирать,Другое,4
2025-08-28,Лето,5.0,Позитив,заказ,Доставка/Заказ,4
2025-08-28,Лето,5.0,Позитив,отдавать,Другое,4
2025-08-28,Лето,5.0,Позитив,очередь,Другое,4
2025-08-28,Лето,5.0,Позитив,лишний,Другое,4
2025-08-28,Лето,5.0,Позитив,вода,Другое,4
2023-12-29,Зима,5.0,Позитив,обслуживание,Другое,5
2023-12-29,Зима,5.0,Позитив,быстрый,Другое,5
2023-12-29,Зима,5.0,Позитив,персонал,Сервис/Общение,5
2023-12-29,Зима,5.0,Позитив,вежливый,Сервис/Общение,5
2023-12-29,Зима,5.0,Позитив,доброжелательный,Другое,5
2023-12-29,Зима,5.0,Позитив,акция,Цена/Выгода,5
2023-12-29,Зима,5.0,Позитив,довольно,Другое,5
2023-12-29,Зима,5.0,Позитив,дорогой,Другое,5
2023-12-29,Зима,5.0,Позитив,лекарство,Лекарства/Наличие,5
2023-12-29,Зима,5.0,Позитив,поэтому,Другое,5
2023-12-29,Зима,5.0,Позитив,купить,Другое,5
2023-12-29,Зима,5.0,Позитив,импортный,Другое,5
2023-12-29,Зима,5.0,Позитив,лекарство,Лекарства/Наличие,5
2023-12-29,Зима,5.0,Позитив,гораздо,Другое,5
2023-12-29,Зима,5.0,Позитив,дешёвый,Другое,5
2023-12-29,Зима,5.0,Позитив,город,Другое,5
2023-12-30,Зима,5.0,Позитив,вежливый,Сервис/Общение,6
2023-12-30,Зима,5.0,Позитив,девушка,Другое,6
2023-12-30,Зима,5.0,Позитив,сезон,Другое,6
2023-12-30,Зима,5.0,Позитив,простуда,Другое,6
2023-12-30,Зима,5.0,Позитив,порекомендовать,Другое,6
2023-12-30,Зима,5.0,Позитив,витамин,Другое,6
2023-12-30,Зима,5.0,Позитив,интернет,Доставка/Заказ,6
2023-12-30,Зима,5.0,Позитив,посмотреть,Другое,6
2023-12-30,Зима,5.0,Позитив,наличие,Лекарства/Наличие,6
2023-12-30,Зима,5.0,Позитив,пачка,Другое,6
2023-12-30,Зима,5.0,Позитив,рецептурный,Другое,6
2023-12-30,Зима,5.0,Позитив,лекарство,Лекарства/Наличие,6
2023-12-30,Зима,5.0,Позитив,приехать,Другое,6
2023-12-30,Зима,5.0,Позитив,соответствовать,Другое,6
2023-12-30,Зима,5.0,Позитив,спасибо,Сервис/Общение,6
2023-12-30,Зима,5.0,Позитив,большой,Другое,6
2024-02-07,Зима,5.0,Позитив,быстрый,Другое,7
2024-02-07,Зима,5.0,Позитив,обслуживание,Другое,7
2024-02-07,Зима,5.0,Позитив,хороший,Другое,7
2024-02-07,Зима,5.0,Позитив,знание,Другое,7
2024-02-07,Зима,5.0,Позитив,продавать,Другое,7
2024-02-07,Зима,5.0,Позитив,лекарство,Лекарства/Наличие,7
2024-02-07,Зима,5.0,Позитив,большой,Другое,7
2024-02-07,Зима,5.0,Позитив,ассортимент,Другое,7
2024-02-07,Зима,5.0,Позитив,аналог,Лекарства/Наличие,7
2024-02-07,Зима,5.0,Позитив,приятный,Другое,7
2024-02-07,Зима,5.0,Позитив,общение,Другое,7
2024-02-07,Зима,5.0,Позитив,персонал,Сервис/Общение,7
2025-01-12,Зима,5.0,Позитив,хороший,Другое,8
2025-01-12,Зима,5.0,Позитив,фармацевт,Сервис/Общение,8
2025-01-12,Зима,5.0,Позитив,всегда,Другое,8
2025-01-12,Зима,5.0,Позитив,доброжелательный,Другое,8
2025-01-12,Зима,5.0,Позитив,выбор,Другое,8
2025-01-12,Зима,5.0,Позитив,препарат,Лекарства/Наличие,8
2025-01-12,Зима,5.0,Позитив,отличный,Другое,8
2024-12-24,Зима,5.0,Позитив,людмила,Другое,9
2024-12-24,Зима,5.0,Позитив,остапенко,Другое,9
2024-12-24,Зима,5.0,Позитив,декабрь,Другое,9
2024-12-24,Зима,5.0,Позитив,замечательный,Другое,9
2024-12-24,Зима,5.0,Позитив,сеть,Другое,9
2024-12-24,Зима,5.0,Позитив,приветливый,Другое,9
2024-12-24,Зима,5.0,Позитив,фармацевт,Сервис/Общение,9
2024-12-24,Зима,5.0,Позитив,отличный,Другое,9
2024-12-24,Зима,5.0,Позитив,выбор,Другое,9
2024-12-24,Зима,5.0,Позитив,товар,Другое,9
2025-05-21,Весна,4.0,Позитив,хороший,Другое,10
2025-05-21,Весна,4.0,Позитив,больший,Другое,10
2025-05-21,Весна,4.0,Позитив,цена,Цена/Выгода,10
2025-05-21,Весна,4.0,Позитив,приемлемый,Другое,10
2023-08-12,Лето,5.0,Позитив,екатерина,Другое,11
2023-08-12,Лето,5.0,Позитив,август,Другое,11
2023-08-12,Лето,5.0,Позитив,помещение,Другое,11
2023-08-12,Лето,5.0,Позитив,чистый,Другое,11
2023-08-12,Лето,5.0,Позитив,просторный,Другое,11
2023-08-12,Лето,5.0,Позитив,жара,Другое,11
2023-08-12,Лето,5.0,Позитив,работать,Другое,11
2023-08-12,Лето,5.0,Позитив,кондиционер,Другое,11
2023-08-12,Лето,5.0,Позитив,приятный,Другое,11
2023-08-12,Лето,5.0,Позитив,девушка,Другое,11
2023-08-12,Лето,5.0,Позитив,подробно,Другое,11
2023-08-12,Лето,5.0,Позитив,консультировать,Другое,11
2023-08-12,Лето,5.0,Позитив,наличие,Лекарства/Наличие,11
2023-08-12,Лето,5.0,Позитив,всегда,Другое,11
2023-08-12,Лето,5.0,Позитив,помочь,Сервис/Общение,11
2023-08-12,Лето,5.0,Позитив,подобрать,Другое,11
2023-08-12,Лето,5.0,Позитив,аналог,Лекарства/Наличие,11
2024-12-23,Зима,5.0,Позитив,замечательный,Другое,12
2024-12-23,Зима,5.0,Позитив,доброжелательный,Другое,12
2024-12-23,Зима,5.0,Позитив,продавец,Другое,12
2024-12-23,Зима,5.0,Позитив,большой,Другое,12
2024-12-23,Зима,5.0,Позитив,ассортимент,Другое,12
2024-12-23,Зима,5.0,Позитив,рекомендовать,Другое,12
2022-08-17,Лето,5.0,Позитив,рядом,Другое,13
2022-08-17,Лето,5.0,Позитив,работа,Другое,13
2022-08-17,Лето,5.0,Позитив,удобно,Другое,13
2022-08-17,Лето,5.0,Позитив,сделать,Другое,13
2022-08-17,Лето,5.0,Позитив,заказ,Доставка/Заказ,13
2022-08-17,Лето,5.0,Позитив,онлайн,Другое,13
2022-08-17,Лето,5.0,Позитив,перерыв,Другое,13
2022-08-17,Лето,5.0,Позитив,забрать,Другое,13
2022-08-17,Лето,5.0,Позитив,единственный,Другое,13
2022-08-17,Лето,5.0,Позитив,минус,Другое,13
2022-08-17,Лето,5.0,Позитив,заказ,Доставка/Заказ,13
2022-08-17,Лето,5.0,Позитив,видный,Другое,13
2022-08-17,Лето,5.0,Позитив,цена,Цена/Выгода,13
2022-08-17,Лето,5.0,Позитив,интернет,Доставка/Заказ,13
2022-08-17,Лето,5.0,Позитив,магазин,Другое,13
2022-08-17,Лето,5.0,Позитив,видно,Другое,13
2022-08-17,Лето,5.0,Позитив,цена,Цена/Выгода,13
2022-08-17,Лето,5.0,Позитив,ранний,Другое,13
2022-08-17,Лето,5.0,Позитив,возможность,Другое,13
2022-08-17,Лето,5.0,Позитив,сравнить,Другое,13
2022-08-17,Лето,5.0,Позитив,увы,Другое,13
2022-08-17,Лето,5.0,Позитив,просто,Другое,13
2022-08-17,Лето,5.0,Позитив,отдельный,Другое,13
2022-08-17,Лето,5.0,Позитив,препарат,Лекарства/Наличие,13
2022-08-17,Лето,5.0,Позитив,дешёвый,Другое,13
2022-08-17,Лето,5.0,Позитив,заказ,Доставка/Заказ,13
2022-08-17,Лето,5.0,Позитив,интернет,Доставка/Заказ,13
2022-08-17,Лето,5.0,Позитив,вернуть,Цена/Выгода,13
2022-08-17,Лето,5.0,Позитив,функция,Другое,13
2022-08-17,Лето,5.0,Позитив,супер,Другое,13
2023-09-05,Осень,5.0,Позитив,хороший,Другое,14
2023-09-05,Осень,5.0,Позитив,цена,Цена/Выгода,14
2023-09-05,Осень,5.0,Позитив,приятный,Другое,14
2023-09-05,Осень,5.0,Позитив,зачастую,Другое,14
2023-09-05,Осень,5.0,Позитив,ниже,Другое,14
2023-09-05,Осень,5.0,Позитив,заказать,Другое,14
2023-09-05,Осень,5.0,Позитив,препарат,Лекарства/Наличие,14
2023-09-05,Осень,5.0,Позитив,приложение,Доставка/Заказ,14
2023-09-05,Осень,5.0,Позитив,резерв,Другое,14
2023-09-05,Осень,5.0,Позитив,сутки,Другое,14
2025-10-08,Осень,5.0,Позитив,всегда,Другое,15
2025-10-08,Осень,5.0,Позитив,вежливый,Сервис/Общение,15
2025-10-08,Осень,5.0,Позитив,профессионал,Другое,15
2025-10-08,Осень,5.0,Позитив,быстрый,Другое,15
2025-10-08,Осень,5.0,Позитив,обслуживание,Другое,15
2024-11-23,Осень,5.0,Позитив,хороший,Другое,16
2024-11-23,Осень,5.0,Позитив,вежливый,Сервис/Общение,16
2024-11-23,Осень,5.0,Позитив,персонал,Сервис/Общение,16
2024-11-23,Осень,5.0,Позитив,широкий,Другое,16
2024-11-23,Осень,5.0,Позитив,ассортимент,Другое,16
2024-09-23,Осень,1.0,Негатив,продавец,Другое,17
2024-09-23,Осень,1.0,Негатив,обсчитывать,Другое,17
2024-09-23,Осень,1.0,Негатив,покупатель,Другое,17
2024-09-23,Осень,1.0,Негатив,продавать,Другое,17
2024-09-23,Осень,1.0,Негатив,товар,Другое,17
2024-09-23,Осень,1.0,Негатив,факт,Другое,17
2024-09-23,Осень,1.0,Негатив,пробивать,Другое,17
2024-09-23,Осень,1.0,Негатив,касса,Другое,17
2023-03-11,Весна,5.0,Позитив,приятный,Другое,18
2023-03-11,Весна,5.0,Позитив,фармацевт,Сервис/Общение,18
2023-03-11,Весна,5.0,Позитив,грамотно,Другое,18
2023-03-11,Весна,5.0,Позитив,подсказать,Другое,18
2023-03-11,Весна,5.0,Позитив,оптимальный,Другое,18
2023-03-11,Весна,5.0,Позитив,цена,Цена/Выгода,18
2023-03-11,Весна,5.0,Позитив,недалеко,Другое,18
2023-03-11,Весна,5.0,Позитив,дом,Другое,18
2022-02-17,Зима,2.0,Негатив,понравиться,Другое,19
2022-02-17,Зима,2.0,Негатив,обслуживание,Другое,19
2022-02-17,Зима,2.0,Негатив,новенький,Другое,19
2022-02-17,Зима,2.0,Негатив,долго,Другое,19
2022-02-17,Зима,2.0,Негатив,искать,Другое,19
2022-02-17,Зима,2.0,Негатив,лежать,Другое,19
2022-02-17,Зима,2.0,Негатив,лекарство,Лекарства/Наличие,19
2022-02-17,Зима,2.0,Негатив,очередь,Другое,19
2022-02-17,Зима,2.0,Негатив,сказать,Другое,19
2022-02-17,Зима,2.0,Негатив,быстрый,Другое,19
2022-02-17,Зима,2.0,Негатив,посоветовать,Другое,19
2022-02-17,Зима,2.0,Негатив,волноваться,Другое,19
2022-02-17,Зима,2.0,Негатив,магнитный,Другое,19
2022-02-17,Зима,2.0,Негатив,буря,Другое,19
