pharmacy,author,date,rating,text,url
Столички,Роман Х.,9 декабря 2025,1,"Сегодня в 20:30 мне в чек пробили лекарство, которое было вычеркнуто из рецепта. Не выходя из аптеки я заметил ошибку, но сотрудник аптеки отказалась сделать возврат. То есть для вашего сотрудника нормально пробить в чек лишний товар, а потом через 10 секунд после этого объявить, что товар возврату не подлежит? Ошиблась - ок, забери это лекарство себе, раз оно не возвратное, а мне верни излишне списанные деньги.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Татьяна Лысенко,5 августа 2024,5,"Нравится обслуживание, вежливый персонал, цены дешевле, чем в остальных аптеках. Доп. скидка через заказ с сайта, оформление 5-10 минут. Рекомендую к посещению.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Татьяна Лысенко,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Э. С.,30 июля 2025,5,"Все что было в списке нашли, это самое главное, а бонусом приятный фармацевт, хорошее обслуживание...",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Юлия,19 апреля 2024,5,"Как правило всегда есть в наличии необходимые мне лекарства. Заказываю через приложение, очень удобно. Очередей не бывает, работает как правило одно-два окна 1",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Как правило всегда есть в наличии необходимые мне лекарства. Заказываю через приложение, очень удобно. Очередей не бывает, работает как правило одно-два окна",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Роман Викторович Пургин,28 августа 2025,5,"Постоянно забираю здесь заказы, отдают без очереди и без лишней воды👍",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Роман Викторович Пургин,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Андрей Кушнарев,29 декабря 2023,5,"Обслуживание очень быстрое, персонал вежливый и доброжелательный, есть акции на довольно дорогие лекарства, поэтому можно купить импортное лекарство гораздо дешевле, чем в других аптеках города.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Андрей Кушнарев,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Наталья Смирнова,30 декабря 2023,5,"Вежливая девушка, сейчас сезон простуд порекомендовала витамины.В интернете посмотрели что в этой аптеке есть в наличии 1 пачка рецептурного лекарства, за ним и приехали,соответствовало! Спасибо большое.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Наталья Смирнова,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Mekovich,7 февраля 2024,5,"Быстрое обслуживание, хорошее знание продаваемых лекарств, большой ассортимент аналогов и приятный в общении персонал. 3",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Быстрое обслуживание, хорошее знание продаваемых лекарств, большой ассортимент аналогов и приятный в общении персонал.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Татьяна Федорова,12 января 2025,5,"Хорошая аптека, фармацевты всегда доброжелательные. Выбор препаратов тоже отличный",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Татьяна Федорова,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Людмила Остапенко,24 декабря 2024,5,"Л Людмила Остапенко 24 декабря 2024 Замечательная сеть аптек. Очень приветливые фармацевты, отличный выбор товаров.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Людмила Остапенко,,,Л Людмила Остапенко,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Людмила Остапенко,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Замечательная сеть аптек. Очень приветливые фармацевты, отличный выбор товаров.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Spirit Of Travel 🪂,21 мая 2025,4,Хорошая большая аптека. Цены приемлемые. 6,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Spirit Of Travel 🪂,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Хорошая большая аптека. Цены приемлемые.,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Екатерина Л,12 августа 2023,5,"Е Екатерина Л 12 августа 2023 Само помещение чистое и просторное, в жару работает кондиционер. Приятные девушки подробно консультируют. В наличии есть не всё, но всегда помогут подобрать аналог. 2",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Екатерина Л,,,Е Екатерина Л,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Екатерина Л,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Само помещение чистое и просторное, в жару работает кондиционер. Приятные девушки подробно консультируют. В наличии есть не всё, но всегда помогут подобрать аналог.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Ира К.,23 декабря 2024,5,"Замечательная аптека, доброжелательный продавец, большой ассортимент, рекомендую 3",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Замечательная аптека, доброжелательный продавец, большой ассортимент, рекомендую",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Anna Z,17 августа 2022,5,"Рядом с работой, удобно, что можно сделать заказ онлайн и в перерыв забрать. Единственный минус, при заказе видны только цены интернет магазина, но не видно цен в аптеке. Раньше такая возможность была, можно было сравнить. Теперь увы. Просто отдельные препараты дешевле в аптеке, чем при заказе через интернет. Если бы вернули эту функцию, было бы супер 1",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Рядом с работой, удобно, что можно сделать заказ онлайн и в перерыв забрать. Единственный минус, при заказе видны только цены интернет магазина, но не видно цен в аптеке. Раньше такая возможность была, можно было сравнить. Теперь увы. Просто отдельные препараты дешевле в аптеке, чем при заказе через интернет. Если бы вернули эту функцию, было бы супер",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,М Короленко,5 сентября 2023,5,"Хорошая аптека, цены приятные, зачастую ниже чем в других аптеках, можно заказать препарат по приложению, резерв на сутки. 3",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,М Короленко,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Хорошая аптека, цены приятные, зачастую ниже чем в других аптеках, можно заказать препарат по приложению, резерв на сутки.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Алексей Морозов,8 октября 2025,5,Всегда вежливый профессионал и быстрое обслуживание,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Алексей Морозов,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Светлана Кутузова,23 ноября 2024,5,"Хорошая аптека, вежливый персонал, широкий ассортимент 3",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Светлана Кутузова,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Хорошая аптека, вежливый персонал, широкий ассортимент",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Айсен Шишигин,23 сентября 2024,1,"Этот продавец обсчитывает покупателей, продает один товар, а по факту пробивает на кассе другой 3",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Айсен Шишигин,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Этот продавец обсчитывает покупателей, продает один товар, а по факту пробивает на кассе другой",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Шорена Казаневская,11 марта 2023,5,"Приятный фармацевт, грамотно подскажет, оптимальные цены, недалеко от дома👍 3",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Шорена Казаневская,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Приятный фармацевт, грамотно подскажет, оптимальные цены, недалеко от дома👍",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Маргарита Наварская,17 февраля 2022,2,"Не очень понравилось обслуживание...может была новенькая..долго искала где лежат лекарства. А когда ей в очереди сказали нельзя ли побыстрее,посоветовала не волноваться при магнитных бурях)",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Маргарита Наварская,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Наталия О.,12 сентября 2022,5,"Заказываю через приложение и забираю, очень удобно. Очень много редких товаров можно найти, приложение показывает наличие в аптеках сети. 1",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,Наталия О.,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,,,,"Заказываю через приложение и забираю, очень удобно. Очень много редких товаров можно найти, приложение показывает наличие в аптеках сети.",https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
Столички,Мария Бурова,24 мая 2023,1,Дорого. И не полный ассортимент. Сердечных препаратов практически не бывает. Можно купить лекарства только от ОРВИ. 1,https://yandex.ru/maps/org/stolichki/131052308698/reviews/?tab=reviews
