word,count
заказ,313
лекарство,133
доставка,118
цена,102
день,88
хороший,80
курьер,71
заказать,66
препарат,58
сделать,57
заказывать,54
товар,51
который,47
сайт,47
ещё,46
привезти,44
время,44
большой,43
деньга,40
всегда,40
работать,40
сервис,40
фармацевт,39
наличие,39
ждать,38
час,37
доставить,35
получить,34
очередь,33
интернет,32
персонал,31
весь,31
прийти,31
сегодня,30
вежливый,30
приложение,30
отвратительный,30
поддержка,30
нужный,28
быстро,28
говорить,28
позвонить,28
еаптека,28
оплатить,28
сказать,27
человек,27
ничего,27
итог,27
срок,27
звонить,27
обслуживание,26
ассортимент,26
оператор,26
минута,25
отменить,25
купить,24
сеть,24
онлайн,24
оплата,24
рекомендовать,23
просто,23
смс,23
прийтись,23
завтра,23
удобно,22
вопрос,22
никто,22
вернуть,21
приехать,21
знать,21
дешёвый,20
выбор,20
оформить,20
хотя,20
звонок,20
проблема,20
перенести,20
рецепт,19
сотрудник,19
забрать,19
бонус,19
спасибо,19
помочь,19
удобный,19
быстрый,18
работа,18
дом,18
ответ,18
писать,18
около,17
бывать,17
никакой,17
служба,17
город,16
никогда,16
отношение,16
ужасный,16
делать,16
вообще,16
найти,15
часто,15
должный,15
покупать,15
написать,15
смочь,15
приятный,14
отличный,14
клиент,14
хотеть,14
приходить,14
следующий,14
свой,14
идти,14
чат,14
возврат,13
акция,13
ниже,13
почему,13
далее,13
каждый,13
несколько,13
таблетка,13
предложить,13
линия,13
неделя,13
упаковка,13
отзыв,13
нравиться,12
девушка,12
продавец,12
покупатель,12
сбер,12
пользоваться,12
ответить,12
дать,12
пройти,12
сообщение,12
советовать,12
срочно,12
самый,11
забирать,11
касса,11
провизор,11
подтвердить,11
выдать,11
указать,11
оформлять,11
технический,11
место,11
зайти,11
думать,11
случай,11
месяц,11
пытаться,11
рубль,11
предупредить,11
постоянно,10
доброжелательный,10
магазин,10
искать,10
полный,10
получать,10
сбой,10
второй,10
телефон,10
прислать,10
вечером,10
пока,10
обслуживать,10
горячий,10
назначить,10
скидка,9
необходимый,9
аналог,9
минус,9
посоветовать,9
нужно,9
первый,9
стать,9
закрытый,9
извинить,9
друг,9
карта,9
данный,9
выбрать,9
решить,9
кабинет,9
переносить,9
ваш,8
дорогой,8
поэтому,8
рецептурный,8
чисто,8
конечно,8
покупка,8
номер,8
сразу,8
взять,8
снова,8
видимо,8
год,8
получение,8
течение,8
адекватный,8
хорошо,8
обещать,8
связаться,8
сумма,8
дождаться,8
ошибка,7
остальной,7
посмотреть,7
приветливый,7
больший,7
рядом,7
сутки,7
нормальный,7
доступный,7
внимательный,7
адрес,7
принимать,7
рассказать,7
заявить,7
либо,7
стоимость,7
воспользоваться,7
именно,7
слово,7
обратиться,7
почта,7
общий,7
связь,7
вернуться,7
болеть,7
прождать,7
причина,7
точно,7
личный,7
связываться,7
годность,7
утро,7
отказаться,6
нормально,6
лишний,6
оформление,6
декабрь,6
ранний,6
подсказать,6
понравиться,6
долго,6
лежать,6
ходить,6
низкий,6
норма,6
вит,6
обращаться,6
пара,6
специалист,6
показать,6
вместо,6
оказаться,6
брать,6
информация,6
готовый,6
рабочий,6
ехать,6
совершенно,6
спросить,6
увидеть,6
понимать,6
конец,6
народ,6
туда,6
претензия,6
маленький,6
жалоба,6
стоять,6
многие,6
довольный,6
дата,6
отвечать,6
завтрак,6
хотеться,6
подтверждение,6
пойти,6
сообщить,6
руб,6
часть,6
позиция,6
март,6
передать,6
плохой,6
задержка,6
озерко,6
проверить,6
назад,6
скрин,6
заранее,6
вечер,6
срочный,6
перезвонить,6
оплачивать,6
сбераптека,6
правило,5
замечательный,5
приемлемый,5
чистый,5
возможность,5
супер,5
факт,5
медикамент,5
некоторый,5
ценник,5
система,5
средний,5
спб,5
обычный,5
врач,5
поехать,5
дверь,5
всякий,5
приходиться,5
вчера,5
новый,5
конкурент,5
отрицательный,5
выйти,5
абсолютно,5
проверять,5
оказываться,5
выдача,5
собрать,5
июнь,5
кормить,5
целое,5
однако,5
приезжать,5
робот,5
обслужить,5
понять,5
открыть,5
сожаление,5
видеть,5
результат,5
близкий,5
предлагать,5
разный,5
узнать,5
последний,5
крайне,5
надеяться,5
статус,5
склад,5
организация,5
оставить,5
спустя,5
код,5
среда,5
здоровье,5
утром,5
центр,5
температура,5
заявка,5
порядок,5
стоить,5
высокий,5
дозвониться,5
октябрь,5
чек,4
пробить,4
выходить,4
список,4
довольно,4
общение,4
август,4
увы,4
профессионал,4
дорого,4
открыться,4
удивить,4
мало,4
особенно,4
радовать,4
надежда,4
вокзал,4
заходить,4
выдавать,4
уточнить,4
выше,4
относиться,4
плюс,4
пол,4
заниматься,4
отменять,4
счёт,4
находиться,4
сидеть,4
здравствуйте,4
решать,4
форма,4
количество,4
виноватый,4
смотреть,4
принять,4
учёт,4
важный,4
район,4
таки,4
сравнение,4
оценка,4
поступить,4
жизнь,4
огромный,4
продать,4
создавать,4
отлично,4
пора,4
легко,4
дело,4
вовремя,4
отправить,4
расположение,4
давно,4
разбираться,4
отмена,4
сбербанк,4
наверное,4
удалить,4
интервал,4
выясниться,4
