word,count
заказ,269
доставка,113
лекарство,84
день,84
курьер,70
сделать,54
заказать,48
препарат,42
время,42
который,41
товар,41
привезти,41
деньга,39
заказывать,38
ещё,37
сайт,37
сервис,36
ждать,36
доставить,35
час,34
цена,32
отвратительный,30
поддержка,30
сегодня,28
говорить,28
позвонить,28
оплатить,28
получить,27
работать,27
итог,27
прийти,27
звонить,27
ничего,26
большой,26
оператор,26
отменить,25
сказать,24
весь,23
человек,23
завтра,23
оплата,23
хороший,22
смс,21
прийтись,21
минута,21
никто,21
вернуть,20
нужный,20
приложение,20
хотя,20
звонок,20
срок,20
перенести,20
просто,19
оформить,19
фармацевт,19
онлайн,19
приехать,18
писать,18
проблема,18
еаптека,18
рецепт,17
знать,17
служба,17
сотрудник,16
около,16
ответ,16
вопрос,16
ужасный,16
купить,15
должный,15
никакой,15
вообще,15
написать,15
отношение,14
наличие,14
никогда,14
чат,14
бонус,14
смочь,14
возврат,13
забрать,13
сеть,13
приходить,13
свой,13
клиент,13
дом,13
работа,13
рекомендовать,13
линия,12
делать,12
пройти,12
сообщение,12
упаковка,12
идти,12
интернет,11
выдать,11
несколько,11
хотеть,11
далее,11
следующий,11
технический,11
таблетка,11
покупать,11
ответить,11
почему,11
неделя,11
предложить,11
месяц,11
пытаться,11
рубль,11
срочно,11
предупредить,11
покупатель,10
очередь,10
подтвердить,10
сбой,10
указать,10
оформлять,10
телефон,10
думать,10
отзыв,10
советовать,10
обслуживание,9
полный,9
часто,9
закрытый,9
извинить,9
прислать,9
каждый,9
дать,9
данный,9
вечером,9
получать,9
случай,9
кабинет,9
назначить,9
переносить,9
горячий,9
быстрый,8
стать,8
второй,8
первый,8
снова,8
друг,8
видимо,8
зайти,8
самый,8
год,8
течение,8
обещать,8
связаться,8
сумма,8
дождаться,8
ошибка,7
продавец,7
касса,7
заявить,7
либо,7
пользоваться,7
конечно,7
слово,7
обратиться,7
почта,7
связь,7
карта,7
вернуться,7
получение,7
удобный,7
прождать,7
причина,7
точно,7
личный,7
связываться,7
сбер,7
выбрать,7
утро,7
отказаться,6
нормально,6
искать,6
ассортимент,6
бывать,6
вместо,6
информация,6
магазин,6
постоянно,6
рабочий,6
совершенно,6
стоимость,6
конец,6
необходимый,6
принимать,6
спасибо,6
пока,6
жалоба,6
дата,6
отвечать,6
завтрак,6
подтверждение,6
сообщить,6
руб,6
рецептурный,6
часть,6
передать,6
проверить,6
назад,6
решить,6
сразу,6
скрин,6
болеть,6
вечер,6
перезвонить,6
оплачивать,6
сбераптека,6
ваш,5
факт,5
лежать,5
поехать,5
брать,5
дверь,5
номер,5
найти,5
скидка,5
остальной,5
вчера,5
адрес,5
место,5
новый,5
ехать,5
спросить,5
отрицательный,5
выйти,5
увидеть,5
понимать,5
именно,5
город,5
проверять,5
претензия,5
оказываться,5
маленький,5
стоять,5
многие,5
кормить,5
общий,5
однако,5
приезжать,5
робот,5
пойти,5
туда,5
понять,5
видеть,5
результат,5
взять,5
дешёвый,5
узнать,5
последний,5
отличный,5
плохой,5
статус,5
задержка,5
склад,5
организация,5
сутки,5
оставить,5
